Telemetry GUID (Device+ParamName),"Device 
(CompClass)",Metric (ParamName),Description,"Category
,,,TEMP_GB_HSC_STBY (via BB SMBPBI),,,SMBPBI: 02h/03h; Arg CAh (HSC_STBY),NA,NA,NA,"2022.1f
/redfish/v1/Chassis/HGX_Chassis_{InstanceId}/Sensors/HGX_Chassis_{InstanceId}_StandbyHSC_{InstanceId}_Temp_{InstanceId}
{Reading}","2022.1f
/redfish/v1/Chassis/HGX_Chassis_{InstanceId}/Sensors/HGX_Chassis_{InstanceId}_StandbyHSC_{InstanceId}_Temp_{InstanceId}
{Reading}","2022.1f
/redfish/v1/Chassis/Baseboard_{InstanceId}/Sensors/Baseboard_{InstanceId}_StandbyHSC_{InstanceId}_Temp_{InstanceId}
{Reading}",/redfish/v1/TelemetryService/MetricReports/HGX_PlatformEnvironmentMetrics_0,,,,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,NA,,,Available OOB,No,No Impact,10 Sec,0.3,"2022.1f
/redfish/v1/Chassis/{CHASSIS_NAME}_{InstanceId}/Sensors/{CHASSIS_NAME}_{InstanceId}_StandbyHSC_{InstanceId}_Temp_{InstanceId}
{Reading}","2022.1f
/redfish/v1/Chassis/$ChassisId/Sensors/$SensorId
{Reading}","{ChassisId:{ChassisType: {anyOf: [Zone, RackMount]}, Id_contains: {not: [GPU, FPGA, NVSwitch, BMC, PCIeRetimer, NIC, CPU, PCIeSwitch, RoT]}}, SensorId: {ReadingType: Temperature, Id_contains: StandbyHSC}}",,,Y,ES Factory,,,,L0,L1,NA
,,,PCIe Retimer (1-9) Firmware Version (via BB SMBPBI),,,"SMBPBI: (0x05,[0x90-0x98],[0x00])",NA,NA,NA,"2022.1e
/redfish/v1/UpdateService/FirmwareInventory/HGX_FW_PCIeRetimer_{InstanceId}
{Version}","2022.1e
/redfish/v1/UpdateService/FirmwareInventory/HGX_FW_PCIeRetimer_{InstanceId}
{Version}","2022.1e
/redfish/v1/UpdateService/FirmwareInventory/HGX_FW_PCIeRetimer_{InstanceId}
{Version}",,,,,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Available OOB,No,No Impact,1 Hr,30,"2022.1e
/redfish/v1/UpdateService/FirmwareInventory/HGX_FW_PCIeRetimer_{InstanceId}
{Version}","2022.1e
/redfish/v1/UpdateService/FirmwareInventory/$FwId
{Version}","{FwId: {Id_contains: {anyOf: [PCIeRetimer], not: [RoT]}}}",,,Y,ES Factory,,,,L0,L1,NA
,,,Upstream PCIe Link width,,,NA,NA,NA,NA,"2022.1f
/redfish/v1/Fabrics/HGX_PCIeRetimerTopology_{InstanceId}/Switches/PCIeRetimer_{InstanceId}/Ports/UP_0
{ActiveWidth}","2022.1f
/redfish/v1/Fabrics/HGX_PCIeRetimerTopology_{InstanceId}/Switches/PCIeRetimer_{InstanceId}/Ports/UP_0
{ActiveWidth}","2022.1f
/redfish/v1/Fabrics/HGX_PCIeRetimerTopology_{InstanceId}/Switches/PCIeRetimer_{InstanceId}/Ports/UP_0
{ActiveWidth}",,,,,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Available OOB,No,No Impact,,30,"2022.1f
/redfish/v1/Fabrics/HGX_PCIeRetimerTopology_{InstanceId}/Switches/PCIeRetimer_{InstanceId}/Ports/UP_0
{ActiveWidth}","2022.1f
/redfish/v1/Fabrics/$FabricId/Switches/$SwitchId/Ports/$PortId
{ActiveWidth}","{FabricId:{FabricType: PCIe}, SwitchId: {SwitchType: PCIe}, PortId: {PortType: UpstreamPort}}",,,Y,ES,,,,L0,L1,NA
,,,Upstream PCIe Link speed,,,NA,NA,NA,NA,"2022.1e
/redfish/v1/Fabrics/HGX_PCIeRetimerTopology_{InstanceId}/Switches/PCIeRetimer_{InstanceId}/Ports/UP_0
{CurrentSpeedGbps}","2022.1e
/redfish/v1/Fabrics/HGX_PCIeRetimerTopology_{InstanceId}/Switches/PCIeRetimer_{InstanceId}/Ports/UP_0
{CurrentSpeedGbps}","2022.1e
/redfish/v1/Fabrics/HGX_PCIeRetimerTopology_{InstanceId}/Switches/PCIeRetimer_{InstanceId}/Ports/UP_0
{CurrentSpeedGbps}",,,,,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Available OOB,No,No Impact,,30,"2022.1e
/redfish/v1/Fabrics/HGX_PCIeRetimerTopology_{InstanceId}/Switches/PCIeRetimer_{InstanceId}/Ports/UP_0
{CurrentSpeedGbps}","2022.1e
/redfish/v1/Fabrics/$FabricId/Switches/$SwitchId/Ports/$PortId
{CurrentSpeedGbps}","{FabricId:{FabricType: PCIe}, SwitchId: {SwitchType: PCIe}, PortId: {PortType: UpstreamPort}}",,,Y,ES,,,,L0,L1,NA
,,,Downstream PCIe Link width,,,NA,NA,NA,NA,"2022.1f
/redfish/v1/Fabrics/HGX_PCIeRetimerTopology_{InstanceId}/Switches/PCIeRetimer_{InstanceId}/Ports/DOWN_0
{ActiveWidth}","2022.1f
/redfish/v1/Fabrics/HGX_PCIeRetimerTopology_{InstanceId}/Switches/PCIeRetimer_{InstanceId}/Ports/DOWN_0
{ActiveWidth}","2022.1f
/redfish/v1/Fabrics/HGX_PCIeRetimerTopology_{InstanceId}/Switches/PCIeRetimer_{InstanceId}/Ports/DOWN_0
{ActiveWidth}",,,,,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Available OOB,No,No Impact,,30,"2022.1f
/redfish/v1/Fabrics/HGX_PCIeRetimerTopology_{InstanceId}/Switches/PCIeRetimer_{InstanceId}/Ports/DOWN_0
{ActiveWidth}","2022.1f
/redfish/v1/Fabrics/$FabricId/Switches/$SwitchId/Ports/$PortId
{ActiveWidth}","{FabricId:{FabricType: PCIe}, SwitchId: {SwitchType: PCIe}, PortId: {PortType: DownstreamPort}}",,,Y,ES,,,,L0,L1,NA
,,,Downstream PCIe Link speed,,,NA,NA,NA,NA,"2022.1e
/redfish/v1/Fabrics/HGX_PCIeRetimerTopology_{InstanceId}/Switches/PCIeRetimer_{InstanceId}/Ports/DOWN_0
{CurrentSpeedGbps}","2022.1e
/redfish/v1/Fabrics/HGX_PCIeRetimerTopology_{InstanceId}/Switches/PCIeRetimer_{InstanceId}/Ports/DOWN_0
{CurrentSpeedGbps}","2022.1e
/redfish/v1/Fabrics/HGX_PCIeRetimerTopology_{InstanceId}/Switches/PCIeRetimer_{InstanceId}/Ports/DOWN_0
{CurrentSpeedGbps}",,,,,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Available OOB,No,No Impact,,30,"2022.1e
/redfish/v1/Fabrics/HGX_PCIeRetimerTopology_{InstanceId}/Switches/PCIeRetimer_{InstanceId}/Ports/DOWN_0
{CurrentSpeedGbps}","2022.1e
/redfish/v1/Fabrics/$FabricId/Switches/$SwitchId/Ports/$PortId
{CurrentSpeedGbps}","{FabricId:{FabricType: PCIe}, SwitchId: {SwitchType: PCIe}, PortId: {PortType: DownstreamPort}}",,,Y,ES,,,,L0,L1,NA
,,,Temperature,,,SMBPBI: 02H/03H; D0h-D7h (Retimer 1-8),NA,NA,NA,"2022.1f
/redfish/v1/Chassis/HGX_PCIeRetimer_{InstanceId}/Sensors/HGX_PCIeRetimer_{InstanceId}_TEMP_{InstanceId}
{Reading}","2022.1f
/redfish/v1/Chassis/HGX_PCIeRetimer_{InstanceId}/Sensors/HGX_PCIeRetimer_{InstanceId}_TEMP_{InstanceId}
{Reading}","2022.1f
/redfish/v1/Chassis/HGX_PCIeRetimer_{InstanceId}/Sensors/HGX_PCIeRetimer_{InstanceId}_TEMP_{InstanceId}
{Reading}",/redfish/v1/TelemetryService/MetricReports/HGX_PlatformEnvironmentMetrics_0,,,,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Available OOB,No,No Impact,10 Sec,0.3,"2022.1f
/redfish/v1/Chassis/HGX_PCIeRetimer_{InstanceId}/Sensors/HGX_PCIeRetimer_{InstanceId}_TEMP_{InstanceId}
{Reading}","2022.1f
/redfish/v1/Chassis/$ChassisId/Sensors/$SensorId
{Reading}","{ChassisId:{Id_contains: {anyOf: [PCIeRetimer], not: [RoT]}}, SensorId: {ReadingType: Temperature}}",,,Y,ES Factory,,,,L0,L1,NA
,,,Overall Health of this device,,,NA,NA,NA,NA,"2021.1c
/redfish/v1/Chassis/HGX_PCIeRetimer_{InstanceId}
{Status{Health}}","2021.1c
/redfish/v1/Chassis/HGX_PCIeRetimer_{InstanceId}
{Status{Health}}","2021.1c
/redfish/v1/Chassis/HGX_PCIeRetimer_{InstanceId}
{Status{Health}}",,,,,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Available OOB,No,No Impact,10 Sec,30,"2021.1c
/redfish/v1/Chassis/HGX_PCIeRetimer_{InstanceId}
{Status{Health}}","2021.1c
/redfish/v1/Chassis/$ChassisId
{Status{Health}}","{ChassisId:{Id_contains: {anyOf: [PCIeRetimer], not: [RoT]}}}",ReTimers,,Y,ES,,,,L0,L1,NA
,,,Overall Health of this device + its dependencies,,,NA,NA,NA,NA,"2021.1c
/redfish/v1/Chassis/HGX_PCIeRetimer_{InstanceId}
{Status{HealthRollup}}","2021.1c
/redfish/v1/Chassis/HGX_PCIeRetimer_{InstanceId}
{Status{HealthRollup}}","2021.1c
/redfish/v1/Chassis/HGX_PCIeRetimer_{InstanceId}
{Status{HealthRollup}}",,,,,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Available OOB,No,No Impact,10 Sec,30,"2021.1c
/redfish/v1/Chassis/HGX_PCIeRetimer_{InstanceId}
{Status{HealthRollup}}","2021.1c
/redfish/v1/Chassis/$ChassisId
{Status{HealthRollup}}","{ChassisId:{Id_contains: {anyOf: [PCIeRetimer], not: [RoT]}}}",ReTimers,,Y,ES,,,,L0,L1,NA
,,,Log entries from this device,,,NA,NA,NA,NA,"2021.1c
/redfish/v1/Chassis/HGX_PCIeRetimer_{InstanceId}/LogServices
{Members}","2021.1c
/redfish/v1/Chassis/HGX_PCIeRetimer_{InstanceId}/LogServices
{Members}","2021.1c
/redfish/v1/Chassis/HGX_PCIeRetimer_{InstanceId}/LogServices
{Members}",,,,,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Available OOB,No,No Impact,10 Sec,,"2021.1c
/redfish/v1/Chassis/HGX_PCIeRetimer_{InstanceId}/LogServices
{Members}","2021.1c
/redfish/v1/Chassis/$ChassisId/LogServices
{Members}","{ChassisId:{Id_contains: {anyOf: [PCIeRetimer], not: [RoT]}}}",ReTimers,,Y,ES,,,,L0,L1,NA
,,,Upstream PCIe Link status,,,NA,NA,NA,NA,"2022.1e
/redfish/v1/Fabrics/HGX_PCIeRetimerTopology_{InstanceId}/Switches/PCIeRetimer_{InstanceId}/Ports/UP_0
{Status{State}}","2022.1e
/redfish/v1/Fabrics/HGX_PCIeRetimerTopology_{InstanceId}/Switches/PCIeRetimer_{InstanceId}/Ports/UP_0
{Status{State}}","2022.1e
/redfish/v1/Fabrics/HGX_PCIeRetimerTopology_{InstanceId}/Switches/PCIeRetimer_{InstanceId}/Ports/UP_0
{Status{State}}",,,,,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Available OOB,No,No Impact,10 Sec,30,"2022.1e
/redfish/v1/Fabrics/HGX_PCIeRetimerTopology_{InstanceId}/Switches/PCIeRetimer_{InstanceId}/Ports/UP_0
{Status{State}}","2022.1e
/redfish/v1/Fabrics/$FabricId/Switches/$SwitchId/Ports/$PortId
{Status{State}}","{FabricId:{FabricType: PCIe}, SwitchId: {SwitchType: PCIe}, PortId: {PortType: UpstreamPort}}",,,Y,ES,,,,L0,L1,NA
,,,Upstream PCIe Link health,,,NA,NA,NA,NA,"2022.1e
/redfish/v1/Fabrics/HGX_PCIeRetimerTopology_{InstanceId}/Switches/PCIeRetimer_{InstanceId}/Ports/UP_0
{Status{Health}}","2022.1e
/redfish/v1/Fabrics/HGX_PCIeRetimerTopology_{InstanceId}/Switches/PCIeRetimer_{InstanceId}/Ports/UP_0
{Status{Health}}","2022.1e
/redfish/v1/Fabrics/HGX_PCIeRetimerTopology_{InstanceId}/Switches/PCIeRetimer_{InstanceId}/Ports/UP_0
{Status{Health}}",,,,,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Available OOB,No,No Impact,10 Sec,30,"2022.1e
/redfish/v1/Fabrics/HGX_PCIeRetimerTopology_{InstanceId}/Switches/PCIeRetimer_{InstanceId}/Ports/UP_0
{Status{Health}}","2022.1e
/redfish/v1/Fabrics/$FabricId/Switches/$SwitchId/Ports/$PortId
{Status{Health}}","{FabricId:{FabricType: PCIe}, SwitchId: {SwitchType: PCIe}, PortId: {PortType: UpstreamPort}}",,,Y,ES,,,,L0,L1,NA
,,,Downstream PCIe Link status,,,NA,NA,NA,NA,"2022.1e
/redfish/v1/Fabrics/HGX_PCIeRetimerTopology_{InstanceId}/Switches/PCIeRetimer_{InstanceId}/Ports/DOWN_0
{Status{State}}","2022.1e
/redfish/v1/Fabrics/HGX_PCIeRetimerTopology_{InstanceId}/Switches/PCIeRetimer_{InstanceId}/Ports/DOWN_0
{Status{State}}","2022.1e
/redfish/v1/Fabrics/HGX_PCIeRetimerTopology_{InstanceId}/Switches/PCIeRetimer_{InstanceId}/Ports/DOWN_0
{Status{State}}",,,,,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Available OOB,No,No Impact,10 Sec,30,"2022.1e
/redfish/v1/Fabrics/HGX_PCIeRetimerTopology_{InstanceId}/Switches/PCIeRetimer_{InstanceId}/Ports/DOWN_0
{Status{State}}","2022.1e
/redfish/v1/Fabrics/$FabricId/Switches/$SwitchId/Ports/$PortId
{Status{State}}","{FabricId:{FabricType: PCIe}, SwitchId: {SwitchType: PCIe}, PortId: {PortType: DownstreamPort}}",,,Y,ES,,,,L0,L1,NA
,,,Downstream PCIe Link health,,,NA,NA,NA,NA,"2022.1e
/redfish/v1/Fabrics/HGX_PCIeRetimerTopology_{InstanceId}/Switches/PCIeRetimer_{InstanceId}/Ports/DOWN_0
{Status{Health}}","2022.1e
/redfish/v1/Fabrics/HGX_PCIeRetimerTopology_{InstanceId}/Switches/PCIeRetimer_{InstanceId}/Ports/DOWN_0
{Status{Health}}","2022.1e
/redfish/v1/Fabrics/HGX_PCIeRetimerTopology_{InstanceId}/Switches/PCIeRetimer_{InstanceId}/Ports/DOWN_0
{Status{Health}}",,,,,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Available OOB,No,No Impact,10 Sec,30,"2022.1e
/redfish/v1/Fabrics/HGX_PCIeRetimerTopology_{InstanceId}/Switches/PCIeRetimer_{InstanceId}/Ports/DOWN_0
{Status{Health}}","2022.1e
/redfish/v1/Fabrics/$FabricId/Switches/$SwitchId/Ports/$PortId
{Status{Health}}","{FabricId:{FabricType: PCIe}, SwitchId: {SwitchType: PCIe}, PortId: {PortType: DownstreamPort}}",,,Y,ES,,,,L0,L1,NA
,,,Module power monitoring,,,"PLDM: 0xN030, 81, 0, 0x0010",,,DCGM_FI_DEV_MODULE_POWER_UTIL_CURRENT: 1133,"GH
/redfish/v1/Chassis/{PROCMOD_CHAS_NAME}_{InstanceId}/Sensors/{PROCMOD_SENS_NAME}_{InstanceId}_Power_{InstanceId}
{Reading}","GH
/redfish/v1/Chassis/HGX_ProcessorModule_{InstanceId}/Sensors/ProcessorModule_{InstanceId}_Power_{InstanceId}
{Reading}","GH
/redfish/v1/Chassis/ProcessorModule_{InstanceId}/Sensors/ProcessorModule_{InstanceId}_Power_{InstanceId}
{Reading}",,/redfish/v1/TelemetryService/MetricReports/PlatformEnvironmentMetrics_0,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Yes,NA,NA,NA,Yes,NA,,,Available OOB,No,No Impact,250ms,,"GH
/redfish/v1/Chassis/{PROCMOD_CHAS_NAME}_{InstanceId}/Sensors/{PROCMOD_SENS_NAME}_{InstanceId}_Power_{InstanceId}
{Reading}","GH
/redfish/v1/Chassis/$ChassisId/Sensors/$SensorId
{Reading}","{ChassisId: {Id_contains: {anyOf: [ProcessorModule], not: [RoT]}}, SensorId: {ReadingType: Power}}",,,Y,ES Factory,,,,L0,L1,NA
,,,Module energy counter,,,"PLDM: 0xN031, 81, 0, 0x0010",,,,"GH
/redfish/v1/Chassis/{PROCMOD_CHAS_NAME}_{InstanceId}/Sensors/{PROCMOD_SENS_NAME}_{InstanceId}_Energy_{InstanceId}
{Reading}","GH
/redfish/v1/Chassis/HGX_ProcessorModule_{InstanceId}/Sensors/ProcessorModule_{InstanceId}_Energy_{InstanceId}
{Reading}","GH
/redfish/v1/Chassis/ProcessorModule_{InstanceId}/Sensors/ProcessorModule_{InstanceId}_Energy_{InstanceId}
{Reading}",,/redfish/v1/TelemetryService/MetricReports/PlatformEnvironmentMetrics_0,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Yes,NA,NA,NA,Yes,NA,,,Available OOB,No,No Impact,250ms,,"GH
/redfish/v1/Chassis/{PROCMOD_CHAS_NAME}_{InstanceId}/Sensors/{PROCMOD_SENS_NAME}_{InstanceId}_Energy_{InstanceId}
{Reading}","GH
/redfish/v1/Chassis/$ChassisId/Sensors/$SensorId
{Reading}","{ChassisId: {Id_contains: {anyOf: [ProcessorModule], not: [RoT]}}, SensorId: {ReadingType: EnergyJoules}}",,,Y,ES Factory,,,,L0,L1,NA
,,,Firmware version,,,NA,,,,"2019.2
/redfish/v1/UpdateService/FirmwareInventory/HostBMC_0_{InstanceId}
{Version}","2019.2
/redfish/v1/UpdateService/FirmwareInventory/FW_BMC_{InstanceId}
{Version}","2019.2
/redfish/v1/UpdateService/FirmwareInventory/BMC_Firmware_{InstanceId}
{Version}",,,,,,,,NA,NA,NA,Yes,NA,Yes,NA,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,,Available OOB,No,No Impact,1 Hr,,"2019.2
/redfish/v1/UpdateService/FirmwareInventory/{BMC_FW_NAME}_{InstanceId}
{Version}","2019.2
/redfish/v1/UpdateService/FirmwareInventory/$FwId
{Version}","{FwId: {Id_contains: {anyOf: [BMC], not: [RoT, HGX]}}}",,,Y,ES NVOEM,,,,nvoem,L1,NA
,,,Log entries from this device,,,NA,NA,NA,NA,"2021.1c
/redfish/v1/Managers/HGX_BMC_{InstanceId}/LogServices
{Members}","2021.1c
/redfish/v1/Managers/HGX_BMC_{InstanceId}/LogServices
{Members}","2021.1c
/redfish/v1/Managers/BMC_{InstanceId}/LogServices
{Members}",,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,,Available OOB,No,No Impact,10 Sec,,"2021.1c
/redfish/v1/Managers/{BMC_CHAS_NAME}_{InstanceId}/LogServices
{Members}","2021.1c
/redfish/v1/Managers/$ManagerId/LogServices
{Members}","{ManagerId: {ManagerType: BMC, Id_Contains: {not: [HGX]}}}",,,Y,ES,,,,L0,L1,NA
,,,Overall Health of this device,,,NA,NA,NA,NA,"2021.1c
/redfish/v1/Chassis/HGX_BMC_{InstanceId}
{Status{Health}}","2021.1c
/redfish/v1/Chassis/HGX_BMC_{InstanceId}
{Status{Health}}","2021.1c
/redfish/v1/Chassis/BMC_{InstanceId}
{Status{Health}}",,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,,Available OOB,No,No Impact,10 Sec,30,"2021.1c
/redfish/v1/Chassis/{BMC_CHAS_NAME}_{InstanceId}
{Status{Health}}","2021.1c
/redfish/v1/Chassis/$ChassisId
{Status{Health}}","{ChassisId:{Id_Contains: {anyof: [BMC], not: [RoT, HGX]}}}",,,Y,ES,,,,L0,L1,NA
,,,Number of PSUs in the system,,,,NA,NA,NA,,,"2024.?
/redfish/v1/Chassis/{POWERSHELF_CHASSIS_NAME}/PowerSubsystem/PowerSupplies
{Members@odata.count}",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Available OOB,,,1 Hr,,"2024.?
/redfish/v1/Chassis/{POWERSHELF_CHASSIS_NAME}/PowerSubsystem/PowerSupplies
{Members@odata.count}","2024.?
/redfish/v1/Chassis/$PowershelfChassisId/PowerSubsystem/PowerSupplies
{Members@odata.count}",{PowershelfChassisId:{ChassisType: Shelf}},,,,,,,,L1,L1,NA
,,,Instantaneous output power of PSU,,,,NA,NA,NA,,,"2024.?
/redfish/v1/Chassis/{POWERSHELF_CHASSIS_NAME}/Sensors/{PSU_PWR_SensorId}
{Reading}",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Available OOB,,,,,"2024.?
/redfish/v1/Chassis/{POWERSHELF_CHASSIS_NAME}/Sensors/{PSU_PWR_SensorId}
{Reading}","2024.?
/redfish/v1/Chassis/$PowershelfChassisId/Sensors/$SensorId
{Reading}","{PowershelfChassisId:{ChassisType: Shelf}, SensorId: {ReadingType: Power, Id_contains: PSU}}",,,,,,,,L1,L1,NA
,,,"Instantaneous percentage of maximum current output for 
the PSU",,,,NA,NA,NA,,,"2024.?
/redfish/v1/Chassis/{POWERSHELF_CHASSIS_NAME}/Sensors/{PSU_CURRENT_SensorId}
{Reading}",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Available OOB,,,,,"2024.?
/redfish/v1/Chassis/{POWERSHELF_CHASSIS_NAME}/Sensors/{PSU_CURRENT_SensorId}
{Reading}","2024.?
/redfish/v1/Chassis/$PowershelfChassisId/Sensors/$SensorId
{Reading}","{PowershelfChassisId:{ChassisType: Shelf}, SensorId: {ReadingType: Current, Id_contains: PSU}}",,,,,,,,L1,L1,NA
,,,Instantaneous temperature of PSU,,,,NA,NA,NA,,,"2024.?
/redfish/v1/Chassis/{POWERSHELF_CHASSIS_NAME}/Sensors/{PSU_TEMP_SensorId}
{Reading}",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Available OOB,,,10 Sec,,"2024.?
/redfish/v1/Chassis/{POWERSHELF_CHASSIS_NAME}/Sensors/{PSU_TEMP_SensorId}
{Reading}","2024.?
/redfish/v1/Chassis/$PowershelfChassisId/Sensors/$SensorId
{Reading}","{PowershelfChassisId:{ChassisType: Shelf}, SensorId: {ReadingType: Temperature, Id_contains: PSU}}",,,,,,,,L1,L1,NA
,,,Instantaneous fan speed of PSU,,,,NA,NA,NA,,,"2024.?
/redfish/v1/Chassis/{POWERSHELF_CHASSIS_NAME}/Sensors/{PSU_FAN_SensorId}
{Reading}",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Available OOB,,,,,"2024.?
/redfish/v1/Chassis/{POWERSHELF_CHASSIS_NAME}/Sensors/{PSU_FAN_SensorId}
{Reading}","2024.?
/redfish/v1/Chassis/$PowershelfChassisId/Sensors/$SensorId
{Reading}","{PowershelfChassisId:{ChassisType: Shelf}, SensorId: {ReadingType: Rotational, Id_contains: PSU}}",,,,,,,,L1,L1,NA
,,,PSU Part Number,,,,NA,NA,NA,,,"2024.?
/redfish/v1/Chassis/{POWERSHELF_CHASSIS_NAME}/PowerSubsystem/PowerSupplies/PSU_{InstanceId}
{PartNumber}",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Available OOB,,,1 Hr,,"2024.?
/redfish/v1/Chassis/{POWERSHELF_CHASSIS_NAME}/PowerSubsystem/PowerSupplies/PSU_{InstanceId}
{PartNumber}","2024.?
/redfish/v1/Chassis/$PowershelfChassisId/PowerSubsystem/PowerSupplies/$PSUId
{PartNumber}","{PowershelfChassisId:{ChassisType: Shelf}, PSUId: {Id: all}}",,,,,,,,L1,L1,NA
,,,PSU Serial Number,,,,NA,NA,NA,,,"2024.?
/redfish/v1/Chassis/{POWERSHELF_CHASSIS_NAME}/PowerSubsystem/PowerSupplies/PSU_{InstanceId}
{SerialNumber}",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Available OOB,,,1 Hr,,"2024.?
/redfish/v1/Chassis/{POWERSHELF_CHASSIS_NAME}/PowerSubsystem/PowerSupplies/PSU_{InstanceId}
{SerialNumber}","2024.?
/redfish/v1/Chassis/$PowershelfChassisId/PowerSubsystem/PowerSupplies/$PSUId
{SerialNumber}","{PowershelfChassisId:{ChassisType: Shelf}, PSUId: {Id: all}}",,,,,,,,L1,L1,NA
,,,PSU Manufacturer,,,,NA,NA,NA,,,"2024.?
/redfish/v1/Chassis/{POWERSHELF_CHASSIS_NAME}/PowerSubsystem/PowerSupplies/PSU_{InstanceId}
{Manufacturer}",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Available OOB,,,1 Hr,,"2024.?
/redfish/v1/Chassis/{POWERSHELF_CHASSIS_NAME}/PowerSubsystem/PowerSupplies/PSU_{InstanceId}
{Manufacturer}","2024.?
/redfish/v1/Chassis/$PowershelfChassisId/PowerSubsystem/PowerSupplies/$PSUId
{Manufacturer}","{PowershelfChassisId:{ChassisType: Shelf}, PSUId: {Id: all}}",,,,,,,,L1,L1,NA
,,,PSU temperature metrics,,,,NA,NA,NA,,,"2024.?
/redfish/v1/Chassis/{POWERSHELF_CHASSIS_NAME}/PowerSubsystem/PowerSupplies/PSU_{InstanceId}/Metrics
{TemperatureCelsius{Reading}}",,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Available OOB,,,10 Sec,,"2024.?
/redfish/v1/Chassis/{POWERSHELF_CHASSIS_NAME}/PowerSubsystem/PowerSupplies/PSU_{InstanceId}/Metrics
{TemperatureCelsius{Reading}}","2024.?
/redfish/v1/Chassis/$PowershelfChassisId/PowerSubsystem/PowerSupplies/$PSUId/Metrics
{TemperatureCelsius{Reading}}","{PowershelfChassisId:{ChassisType: Shelf}, PSUId: {Id: all}}",,,,,,,,L1,L1,NA
